id,created_at,text,location
1.08319E+18,10-01-2019 02:47,@CIBC please explain to me why I want to remain an #aventura card holder. I called the travel concierge number to b… https://t.co/RWeLdF1pyv,Canada
1.08319E+18,10-01-2019 02:39,"RT @CIBCLiveLabs: We are pleased to announce, @CIBC Innovation Banking has provided debt financing for @callruby in support of their acquis…","Oshawa, Ontario"
1.08318E+18,10-01-2019 02:11,CIBC World Markets Inc. Decreases Holdings in ING Groep NV (NYSE:ING) - Fairfield Current  https://t.co/1n3VHLsA6e,The Netherlands
1.08318E+18,10-01-2019 02:05,Le patron de la Banque @cibc s’attend à un ralentissement des prêts hypothécaires en 2019. #hypothèque #banque… https://t.co/Plonzy8ezV,Montréal
1.08318E+18,10-01-2019 01:45,Your home is a valuable asset. Use your equity to help pay for major purchases and get more financial flexibility.… https://t.co/I1aDmDAbcn,"Lower Mainland, BC"
1.08318E+18,10-01-2019 01:38,Both #CIBC and #BMO ads at the Chicago Black Hawk arena.,Northern Virginia
1.08317E+18,10-01-2019 01:32,Finally seeing this!! And with 150 other LGBTQ+ Christians here for #qconf19!! @ CIBC Theatre https://t.co/sbjR3lSaGR,Indianapolis
1.08317E+18,10-01-2019 01:31,I checked in at CIBC Theatre on #Yelp https://t.co/Gu2fiIUvhY,"Chicago, IL"
1.08317E+18,10-01-2019 01:29,"RT @AmedeoTarnaucea: CIBC refunds customers who were ‘incorrectly charged,’ possibly since 2003 - NEWS 1130 https://t.co/RqYmG07aPx @cibc…","Comox Valley, BC"
1.08317E+18,10-01-2019 01:21,"RT @AmedeoTarnaucea: CIBC refunds customers who were ‘incorrectly charged,’ possibly since 2003 - NEWS 1130 https://t.co/RqYmG07aPx @cibc…",Vancouver Canada
1.08317E+18,10-01-2019 01:08,America: The Musical Midwest edition @ CIBC Theatre https://t.co/GRghBcb8XK,"Blacksburg, VA"
1.08317E+18,10-01-2019 01:03,Y'know what @city_whitehorse should consider? Heated bus stops. Just the two transfer point stops at the Westmark and CIBC.,"Whitehorse, Yukon, Canada"
1.08317E+18,10-01-2019 01:03,"RT @theHallowedgold: $WEED $CGC EOD Net house.  This one is a beauty.  Anon and CIBC buying, Big 3 other CDN banks selling.   This turn aro…",
1.08316E+18,10-01-2019 00:49,@theHallowedgold This is great - thanks. Can you help me understand why Anon and CIBC buying and the other three bi… https://t.co/sqsfCywwfZ,
1.08316E+18,10-01-2019 00:21,RT @markrmcqueen: .@Expensify and TripActions Announce Strategic Partnership https://t.co/xWS6SZpfFW @CIBC Innovation Banking @OpenViewVent…,"Toronto, Ontario"
1.08316E+18,10-01-2019 00:17,RT @markrmcqueen: .@CIBC Innovation Banking provides debt financing to Ruby Receptionists https://t.co/d8pzNedntr @callruby @UpdataPartners…,"Toronto, Ontario"
1.08315E+18,10-01-2019 00:05,@cibc Still not receiving the #CIBC #DoubleDouble #Visa Card Free Weekends coupon. Multiple calls into the CIBC and… https://t.co/hbaOKCq9qh,
1.08315E+18,10-01-2019 00:01,"RT @theHallowedgold: $APHA EOD Net house.  Much like $WEED this looks beautiful to me.  CIBC and Anonymous buying big, sellers are three Ca…",Okanagan-Similkameen
